region,latitude,longitude,rainfall,sst,wind_speed,pressure,sst_above_threshold,sst_danger_zone,pressure_anomaly,low_pressure_flag,high_wind_flag,rainfall_intensity,heavy_rainfall_flag,risk_score,risk_level,cyclone_probability,distance_from_equator,bay_of_bengel_flag,arabian_sea_flag,sst_norm,wind_norm,pressure_norm,rainfall_norm
Andhra Pradesh,13.0,79.0,0.26405558,28.62800407409668,3.0647168159484863,1012.1956787109376,1,1,-0.7909123347354807,0,0,1,0,3,Moderate,0.3,13.0,0,0,0.6425372034270597,0.4650378277513713,0.44163282950706123,0.3069860114536691
Andhra Pradesh,13.0,79.5,0.23762502,28.62800407409668,2.780597448348999,1012.6326293945312,1,1,-0.3539616511418444,0,0,1,0,3,Moderate,0.3,13.0,0,0,0.6425372034270597,0.41862712328922774,0.552160689197326,0.27544544221008027
Andhra Pradesh,13.0,80.0,0.23494445,28.62800407409668,3.4109041690826416,1012.8046264648438,1,1,-0.1819645808293444,0,0,1,0,3,Moderate,0.3,13.0,0,0,0.6425372034270597,0.521587295218474,0.5956678142996094,0.27224661843573394
Andhra Pradesh,13.0,80.5,0.287375,28.62800407409668,4.403415203094482,1012.845947265625,1,1,-0.1406437800480944,0,0,1,0,3,Moderate,0.3,13.0,1,0,0.6425372034270597,0.6837132941045253,0.6061200228497321,0.3348139417446024
Andhra Pradesh,13.0,81.0,0.3672778,28.62800407409668,4.829805850982666,1012.8253784179688,1,1,-0.1612126277043444,0,0,2,0,3,Moderate,0.3,13.0,1,0,0.6425372034270597,0.7533639149395553,0.600917077086968,0.4301649216767956
Andhra Pradesh,13.0,81.5,0.39620838,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,13.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.4646888576716133
Andhra Pradesh,13.0,82.0,0.4591111,28.62800407409668,5.147040843963623,1012.8035888671876,1,1,-0.18300217848548073,0,1,2,0,5,Moderate,0.5,13.0,1,0,0.6425372034270597,0.8051840341686112,0.5954053511602703,0.5397530105223315
Andhra Pradesh,13.5,79.0,0.22570835,28.62800407409668,2.898764133453369,1012.3037719726562,1,1,-0.6828190730168444,0,0,1,0,3,Moderate,0.3,13.5,0,0,0.6425372034270597,0.4379295705176088,0.46897531302589124,0.2612248371495746
Andhra Pradesh,13.5,79.5,0.19806251,28.62800407409668,2.4131579399108887,1012.7390747070312,1,1,-0.2475163386418444,0,0,1,0,3,Moderate,0.3,13.5,0,0,0.6425372034270597,0.3586061307820375,0.5790863194948357,0.22823402912972268
Andhra Pradesh,13.5,80.0,0.20125002,28.62800407409668,2.962580919265747,1012.9942016601562,1,1,0.007610614483155587,0,0,1,0,3,Moderate,0.3,13.5,0,0,0.6425372034270597,0.44835399885238286,0.6436213737629495,0.2320378032408135
Andhra Pradesh,13.5,80.5,0.20293751,28.62800407409668,4.0132832527160645,1013.012451171875,1,1,0.025860126201905587,0,0,1,0,3,Moderate,0.3,13.5,1,0,0.6425372034270597,0.6199855067198363,0.6482376372141854,0.23405154775446976
Andhra Pradesh,13.5,81.0,0.27070835,28.62800407409668,4.467515468597412,1013.0037231445312,1,1,0.017132098858155587,0,0,1,0,3,Moderate,0.3,13.5,1,0,0.6425372034270597,0.694184028652953,0.6460298590418552,0.314925009070317
Andhra Pradesh,13.5,81.5,0.3546875,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,13.5,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.41514044890937957
Andhra Pradesh,13.5,82.0,0.45420837,28.62800407409668,4.817858695983887,1012.9888916015624,1,1,0.0023005558892919,0,0,2,0,3,Moderate,0.3,13.5,1,0,0.6425372034270597,0.7514123553380522,0.6422781800496848,0.5339024006583096
Andhra Pradesh,14.0,79.0,0.21205556,28.62800407409668,2.7909469604492188,1012.5172119140624,1,1,-0.4693791316107081,0,0,1,0,3,Moderate,0.3,14.0,0,0,0.6425372034270597,0.42031770901546295,0.5229655246946648,0.2449324555896237
Andhra Pradesh,14.0,79.5,0.18404168,28.62800407409668,2.132618188858032,1012.9397583007812,1,1,-0.04683274489184441,0,0,1,0,3,Moderate,0.3,14.0,0,0,0.6425372034270597,0.3127801542356186,0.6298497784502324,0.21150245176368931
Andhra Pradesh,14.0,80.0,0.17358334,28.62800407409668,2.618354797363281,1013.072265625,1,1,0.08567457932690559,0,0,1,0,3,Moderate,0.3,14.0,0,0,0.6425372034270597,0.3921248971662013,0.6633678652483365,0.19902212607467648
Andhra Pradesh,14.0,80.5,0.16404168,28.62800407409668,3.6512610912323,1013.11669921875,1,1,0.1301081730769056,0,0,1,0,3,Moderate,0.3,14.0,1,0,0.6425372034270597,0.5608494341341259,0.674607463216563,0.1876357086878038
Andhra Pradesh,14.0,81.0,0.2840556,28.62800407409668,4.129984855651856,1013.100341796875,1,1,0.11375075120190559,0,0,1,0,3,Moderate,0.3,14.0,1,0,0.6425372034270597,0.6390486337775683,0.6704698090194686,0.3308527783962977
