region,latitude,longitude,rainfall,sst,wind_speed,pressure,data_period
Andhra Pradesh,13.0,79.0,0.26405558,,3.0647168159484863,1012.1956787109375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.0,79.5,0.23762502,,2.780597448348999,1012.6326293945312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.0,80.0,0.23494445,,3.4109041690826416,1012.8046264648438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.0,80.5,0.287375,,4.403415203094482,1012.845947265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.0,81.0,0.3672778,,4.829805850982666,1012.8253784179688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.0,81.5,0.39620838,,,,{'rainfall': '2025-09'}
Andhra Pradesh,13.0,82.0,0.4591111,,5.147040843963623,1012.8035888671875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.5,79.0,0.22570835,,2.898764133453369,1012.3037719726562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.5,79.5,0.19806251,,2.4131579399108887,1012.7390747070312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.5,80.0,0.20125002,,2.962580919265747,1012.9942016601562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.5,80.5,0.20293751,,4.0132832527160645,1013.012451171875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.5,81.0,0.27070835,,4.467515468597412,1013.0037231445312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,13.5,81.5,0.3546875,,,,{'rainfall': '2025-09'}
Andhra Pradesh,13.5,82.0,0.45420837,,4.817858695983887,1012.9888916015625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.0,79.0,0.21205556,,2.7909469604492188,1012.5172119140625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.0,79.5,0.18404168,,2.1326181888580322,1012.9397583007812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.0,80.0,0.17358334,,2.6183547973632812,1013.072265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.0,80.5,0.16404168,,3.6512610912323,1013.11669921875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.0,81.0,0.2840556,,4.1299848556518555,1013.100341796875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.0,81.5,0.41508338,,,,{'rainfall': '2025-09'}
Andhra Pradesh,14.0,82.0,0.51955557,28.682933807373047,4.496466159820557,1013.0745849609375,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.5,79.0,0.22537501,,2.858910083770752,1012.56396484375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.5,79.5,0.19100001,,2.194749355316162,1012.94384765625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.5,80.0,0.16116668,,2.566413164138794,1013.1802368164062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.5,80.5,0.11706251,,3.428123712539673,1013.2254638671875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.5,81.0,0.22079168,,3.836989402770996,1013.26171875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,14.5,81.5,0.37775,,,,{'rainfall': '2025-09'}
Andhra Pradesh,14.5,82.0,0.39737502,,4.150249004364014,1013.2679443359375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.0,79.0,0.24380557,,3.0055575370788574,1012.629638671875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.0,79.5,0.20804167,,2.3775312900543213,1013.0156860351562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.0,80.0,0.16808334,,2.7683980464935303,1013.177978515625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.0,80.5,0.12604167,,3.406203269958496,1013.2799072265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.0,81.0,0.24055558,,3.62007474899292,1013.3004760742188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.0,81.5,0.24970834,,,,{'rainfall': '2025-09'}
Andhra Pradesh,15.0,82.0,0.27880558,,3.8690037727355957,1013.2960815429688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.5,79.0,0.28058335,,2.8890647888183594,1012.5714111328125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.5,79.5,0.23887502,,2.334824323654175,1012.8959350585938,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.5,80.0,0.21895833,,2.7943193912506104,1013.1246948242188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.5,80.5,0.13387501,,3.3864006996154785,1013.289794921875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.5,81.0,0.21458334,,3.5209200382232666,1013.3845825195312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,15.5,81.5,0.28343752,,,,{'rainfall': '2025-09'}
Andhra Pradesh,15.5,82.0,0.20970835,,3.658398151397705,1013.4636840820312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.0,79.0,0.29516667,,2.6273374557495117,1012.76318359375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.0,79.5,0.27150002,,2.1104037761688232,1012.9244384765625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.0,80.0,0.2578611,,2.278303384780884,1012.98046875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.0,80.5,0.24545835,,2.686892509460449,1013.138916015625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.0,81.0,0.23005557,,3.3281288146972656,1013.3434448242188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.0,81.5,0.17708333,,,,{'rainfall': '2025-09'}
Andhra Pradesh,16.0,82.0,0.17702778,28.573074340820312,3.4518096446990967,1013.4180297851562,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.5,79.0,0.31250003,,2.326369524002075,1012.7845458984375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.5,79.5,0.294375,,1.8322722911834717,1012.7965698242188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.5,80.0,0.2760417,,1.8011878728866577,1012.885986328125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.5,80.5,0.26006252,,2.066239595413208,1012.99755859375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.5,81.0,0.25820836,,2.5695443153381348,1013.15380859375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,16.5,81.5,0.25343752,,,,{'rainfall': '2025-09'}
Andhra Pradesh,16.5,82.0,0.20862502,,2.7641797065734863,1013.4744262695312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.0,79.0,0.34897223,,2.100421905517578,1012.955810546875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.0,79.5,0.32662502,,1.5520284175872803,1012.9085693359375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.0,80.0,0.30972224,,1.3776451349258423,1012.9307250976562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.0,80.5,0.29179168,,1.5362660884857178,1012.9757690429688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.0,81.0,0.26733336,,1.86371910572052,1013.0667724609375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.0,81.5,0.23716669,,,,{'rainfall': '2025-09'}
Andhra Pradesh,17.0,82.0,0.22666669,,2.255549430847168,1013.1389770507812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.5,79.0,0.40808335,,2.0142853260040283,1013.0138549804688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.5,79.5,0.37668753,,1.3670181035995483,1013.0094604492188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.5,80.0,0.36070836,,1.052407145500183,1013.01953125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.5,80.5,0.35037503,,1.0760321617126465,1012.9639282226562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.5,81.0,0.312375,,1.2103960514068604,1012.946044921875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,17.5,81.5,0.268125,,,,{'rainfall': '2025-09'}
Andhra Pradesh,17.5,82.0,0.2631667,,1.3536818027496338,1013.2860107421875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.0,79.0,0.41286114,,2.0374162197113037,1012.9257202148438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.0,79.5,0.37762502,,1.3973065614700317,1013.0099487304688,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.0,80.0,0.39297223,,1.0014057159423828,1012.9771118164062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.0,80.5,0.3832917,,0.8591976761817932,1012.9134521484375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.0,81.0,0.34933335,,0.8129116892814636,1012.9912719726562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.0,81.5,0.32725003,,,,{'rainfall': '2025-09'}
Andhra Pradesh,18.0,82.0,0.33083335,,0.8168428540229797,1013.0521850585938,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,79.0,0.41304168,,1.9314714670181274,1012.7134399414062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,79.5,0.38743752,,1.3262144327163696,1012.85107421875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,80.0,0.40904167,,0.9213486313819885,1012.8438110351562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,80.5,0.43268752,,0.9132512807846069,1012.826904296875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,81.0,0.42358336,,1.2352828979492188,1013.2017822265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,81.5,0.43875003,,,,{'rainfall': '2025-09'}
Andhra Pradesh,18.5,82.0,0.43433335,,1.4575294256210327,1012.96923828125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,79.0,0.46986115,,1.887906789779663,1012.724365234375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,79.5,0.46037504,,1.2962243556976318,1012.7945556640625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,80.0,0.45891666,,0.8776687979698181,1012.7647094726562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,80.5,0.4577917,,1.0026781558990479,1012.8318481445312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,81.0,0.46044445,,1.8577548265457153,1013.2672119140625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,81.5,0.4371667,,,,{'rainfall': '2025-09'}
