datetime,region,latitude,longitude,sst,pressure,rainfall,wind_speed
2015-01-01,Andhra Pradesh,13.0,79.0,23.45,953.8,0.07,3.19
2015-02-01,Andhra Pradesh,13.0,79.0,25.53,953.3,0.05,3.33
2015-03-01,Andhra Pradesh,13.0,79.0,28.92,952.6,0.54,3.5
2015-04-01,Andhra Pradesh,13.0,79.0,30.46,950.1999999999999,2.84,3.28
2015-05-01,Andhra Pradesh,13.0,79.0,29.25,948.1999999999999,2.48,3.73
2015-06-01,Andhra Pradesh,13.0,79.0,27.55,946.8000000000001,2.81,5.33
2015-07-01,Andhra Pradesh,13.0,79.0,28.75,947.0,1.27,5.58
2015-08-01,Andhra Pradesh,13.0,79.0,27.66,947.9000000000001,3.68,4.49
2015-09-01,Andhra Pradesh,13.0,79.0,26.89,948.7,3.53,3.01
2015-10-01,Andhra Pradesh,13.0,79.0,24.52,951.7,3.84,2.44
2015-11-01,Andhra Pradesh,13.0,79.0,22.49,951.3,14.3,3.69
2015-12-01,Andhra Pradesh,13.0,79.0,20.9,954.2,1.58,3.09
2016-01-01,Andhra Pradesh,13.0,79.0,20.28,954.4,0.06,2.55
2016-02-01,Andhra Pradesh,13.0,79.0,24.49,953.7,0.0,2.91
2016-03-01,Andhra Pradesh,13.0,79.0,29.64,951.9,0.46,3.04
2016-04-01,Andhra Pradesh,13.0,79.0,34.45,949.2,0.05,3.72
2016-05-01,Andhra Pradesh,13.0,79.0,30.8,947.5,3.44,4.03
2016-06-01,Andhra Pradesh,13.0,79.0,26.66,946.5999999999999,4.82,5.06
2016-07-01,Andhra Pradesh,13.0,79.0,26.2,946.7,4.84,4.72
2016-08-01,Andhra Pradesh,13.0,79.0,26.62,946.7,1.33,4.71
2016-09-01,Andhra Pradesh,13.0,79.0,26.48,947.5,1.46,3.97
2016-10-01,Andhra Pradesh,13.0,79.0,27.28,949.3000000000001,0.86,2.26
2016-11-01,Andhra Pradesh,13.0,79.0,25.28,951.8000000000001,0.19,3.14
2016-12-01,Andhra Pradesh,13.0,79.0,22.18,952.3000000000001,2.64,3.41
2017-01-01,Andhra Pradesh,13.0,79.0,23.16,953.4000000000001,0.46,3.21
2017-02-01,Andhra Pradesh,13.0,79.0,25.12,953.5,0.0,3.16
2017-03-01,Andhra Pradesh,13.0,79.0,29.93,950.6999999999999,0.88,3.1
2017-04-01,Andhra Pradesh,13.0,79.0,34.28,948.7,0.38,3.2
2017-05-01,Andhra Pradesh,13.0,79.0,31.19,947.6,2.85,3.7
2017-06-01,Andhra Pradesh,13.0,79.0,27.94,946.5999999999999,2.52,5.16
2017-07-01,Andhra Pradesh,13.0,79.0,28.09,947.0,3.18,5.24
2017-08-01,Andhra Pradesh,13.0,79.0,25.94,946.5,6.13,3.64
2017-09-01,Andhra Pradesh,13.0,79.0,24.69,948.1,7.79,2.75
2017-10-01,Andhra Pradesh,13.0,79.0,23.87,948.8,7.61,2.42
